NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº alunos
ESTADUAL - OUTROS;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;27;0045949;CAMPINAS COLEGIO TECNICO DE - UNICAMP;França;1
ESTADUAL - OUTROS;CENTRO OESTE;RAPOSO TAVARES;SAO PAULO;11;0438820;RAPOSO TAVARES ETEC;Argentina;1
ESTADUAL - OUTROS;CENTRO SUL;BELA VISTA;SAO PAULO;11;0299364;MARIA AUGUSTA SARAIVA DRA ETEC;Bolívia;2
ESTADUAL - OUTROS;SOROCABA;SOROCABA;SOROCABA;11;0016354;RUBENS DE FARIA E SOUZA ETEC;Peru;1
ESTADUAL - OUTROS;TAUBATE;CACAPAVA;CACAPAVA;11;0014308;MACHADO DE ASSIS ETEC;Portugal;1
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;06;0985429;CEL JTO A EE FLEURIDES CAVALINI MENECHINO PROFA;Japão;3
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;08;0031112;FLEURIDES CAVALLINI MENECHINO PROFA;Venezuela;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;08;0031264;9 DE JULHO;Equador;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017176;MAGI MONSENHOR;Espanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017218;DILECTA CENEVIVA MARTINELLI PROFA;Bolívia;5
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017322;JOAO SOLIDARIO PEDROSO PROF;Haiti;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0435454;MARIA DO CARMO AUGUSTI PROFA;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Paraguai;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;Chile;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0907297;IDALINA GRANDIN MIRANDOLA PROFA;Japão;1
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;08;0017309;JOAO THIENNE DR;Argentina;2
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0017061;ULISSES DE OLIVEIRA VALENTE PROF;Haiti;2
