DATA_NF;NÚM_NF;COD_PRODUTO;COD_VENDEDOR;CANAL_VENDAS;QTDE_ITENS;CUSTO_UNITÁRIO;PREÇO UNITÁRIO
01/01/2020;100001;9001;500010;Internet;1;5,2;9,5
01/01/2020;100002;9012;500011;Lojas Próprias;20;1,5;3
01/01/2020;100003;9004;500003;Lojas Afiliadas;7;2,8;5
01/01/2020;100004;9016;500007;Lojas Próprias;11;1,1;2,5
01/01/2020;100005;9005;500009;Lojas Próprias;2;4;7
01/01/2020;100006;9005;500005;Lojas Afiliadas;17;4;7
01/01/2020;100007;9007;500001;Lojas Afiliadas;1;3,5;5,5
01/01/2020;100008;9009;500004;Lojas Próprias;8;2,8;4
01/01/2020;100009;9009;500003;Lojas Próprias;7;2,8;4
01/01/2020;100010;9009;500002;Internet;20;2,8;4
01/01/2020;100011;9003;500007;Lojas Afiliadas;3;3,5;7
01/01/2020;100012;9002;500001;Internet;11;4,4;7,5
01/01/2020;100013;9016;500005;Lojas Próprias;2;1,1;2,5
01/01/2020;100014;9016;500012;Lojas Próprias;7;1,1;2,5
01/01/2020;100015;9005;500010;Internet;11;4;7
01/01/2020;100016;9011;500009;Internet;7;2,2;3,5
01/01/2020;100017;9007;500004;Lojas Afiliadas;5;3,5;5,5
01/01/2020;100018;9004;500012;Lojas Afiliadas;19;2,8;5
01/01/2020;100019;9003;500012;Internet;15;3,5;7
01/01/2020;100020;9010;500006;Lojas Afiliadas;3;2,5;3,8
01/01/2020;100021;9013;500006;Internet;14;1,8;4
01/01/2020;100022;9009;500008;Lojas Afiliadas;1;2,8;4
01/01/2020;100023;9010;500007;Internet;1;2,5;3,8
01/01/2020;100024;9011;500009;Lojas Próprias;137;2,2;3,5
01/01/2020;100025;9012;500012;Internet;255;1,5;3
01/01/2020;100026;9008;500002;Internet;202;3;4,3
01/01/2020;100027;9009;500012;Lojas Próprias;441;2,8;4
01/01/2020;100028;9016;500002;Internet;471;1,1;2,5
01/01/2020;100029;9008;500007;Lojas Próprias;287;3;4,3
01/01/2020;100030;9014;500005;Internet;453;1,5;3,5
01/01/2020;100031;9006;500012;Lojas Afiliadas;415;3,7;6
01/01/2020;100032;9010;500009;Lojas Próprias;312;2,5;3,8
01/01/2020;100033;9012;500002;Lojas Afiliadas;362;1,5;3
