NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - SE;SANTO ANDRE;SANTO ANDRE;SANTO ANDRE;8;923370;16 DE JULHO;Japão;1
ESTADUAL - SE;SANTO ANASTACIO;PRESIDENTE EPITACIO;PRESIDENTE EPITACIO;8;32220;18 DE JUNHO;Paraguai;1
ESTADUAL - SE;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;8;9283;20 DE AGOSTO;Estados Unidos da América;1
ESTADUAL - SE;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;8;9283;20 DE AGOSTO;Síria;1
ESTADUAL - SE;LINS;LINS;LINS;8;26189;21 DE ABRIL;Venezuela;1
ESTADUAL - SE;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;8;18533;31 DE MARCO;Guiné-Bissau;1
ESTADUAL - SE;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;8;18533;31 DE MARCO;Haiti;5
ESTADUAL - SE;LESTE 4;CIDADE LIDER;SAO PAULO;8;909026;A HEBRAICA;Bolívia;1
ESTADUAL - SE;LESTE 4;CIDADE LIDER;SAO PAULO;8;909026;A HEBRAICA;Cuba;1
ESTADUAL - SE;LESTE 4;CIDADE LIDER;SAO PAULO;8;909026;A HEBRAICA;Venezuela;1
ESTADUAL - SE;MARILIA;MARILIA;MARILIA;8;33820;ABEL AUGUSTO FRAGATA;China;2
ESTADUAL - SE;MARILIA;MARILIA;MARILIA;8;33820;ABEL AUGUSTO FRAGATA;Líbia;3
ESTADUAL - SE;MARILIA;MARILIA;MARILIA;8;33820;ABEL AUGUSTO FRAGATA;Moçambique;1
ESTADUAL - SE;MARILIA;MARILIA;MARILIA;8;33820;ABEL AUGUSTO FRAGATA;Venezuela;2
ESTADUAL - SE;PIRACICABA;PIRACICABA;PIRACICABA;8;21246;ABIGAIL DE AZEVEDO GRILLO PROFESSOR;Japão;1
